exp_id,algorithm,agent_seed,episode,train_reward,train_steps,train_success,epsilon,alpha,elapsed_time_s
cal_F_trans5000,Model Based,42,1,0.2857142857142857,,,,,
cal_F_trans5000,Model Based,42,2,0.21214285714285713,,,,,
cal_F_trans5000,Model Based,42,3,0.14649642857142856,,,,,
cal_F_trans5000,Model Based,42,4,0.09235568267766028,,,,,
cal_F_trans5000,Model Based,42,5,0.11848806555865232,,,,,
cal_F_trans5000,Model Based,42,6,0.10281082238289435,,,,,
cal_F_trans5000,Model Based,42,7,0.0828967641781555,,,,,
cal_F_trans5000,Model Based,42,8,0.0680380251562211,,,,,
cal_F_trans5000,Model Based,42,9,0.056446025149652246,,,,,
cal_F_trans5000,Model Based,42,10,0.04793005439765485,,,,,
cal_F_trans5000,Model Based,42,11,0.05401384560373451,,,,,
cal_F_trans5000,Model Based,42,12,0.04404060051427905,,,,,
cal_F_trans5000,Model Based,42,13,0.040219344249978584,,,,,
cal_F_trans5000,Model Based,42,14,0.03729925051267788,,,,,
cal_F_trans5000,Model Based,42,15,0.042083183540223446,,,,,
cal_F_trans5000,Model Based,42,16,0.028911452994155984,,,,,
cal_F_trans5000,Model Based,42,17,0.026254947571586917,,,,,
cal_F_trans5000,Model Based,42,18,0.02147643074439637,,,,,
cal_F_trans5000,Model Based,42,19,0.01864429044451199,,,,,
cal_F_trans5000,Model Based,42,20,0.01653154239764243,,,,,
cal_F_trans5000,Model Based,42,21,0.016001224000428138,,,,,
cal_F_trans5000,Model Based,42,22,0.01189664789577205,,,,,
cal_F_trans5000,Model Based,42,23,0.01033101544444559,,,,,
cal_F_trans5000,Model Based,42,24,0.02381335684405017,,,,,
cal_F_trans5000,Model Based,42,25,0.0132418582476177,,,,,
cal_F_trans5000,Model Based,42,26,0.007082039003695473,,,,,
cal_F_trans5000,Model Based,42,27,0.012404667817654369,,,,,
cal_F_trans5000,Model Based,42,28,0.007836228491645225,,,,,
cal_F_trans5000,Model Based,42,29,0.005783104111720561,,,,,
cal_F_trans5000,Model Based,42,30,0.0048982791028090444,,,,,
cal_F_trans5000,Model Based,42,31,0.0019204575730255025,,,,,
cal_F_trans5000,Model Based,42,32,0.014838802571042642,,,,,
cal_F_trans5000,Model Based,42,33,0.011727792725289787,,,,,
cal_F_trans5000,Model Based,42,34,0.006235527295807675,,,,,
cal_F_trans5000,Model Based,42,35,0.013624126944238257,,,,,
cal_F_trans5000,Model Based,42,36,0.010555649205067574,,,,,
cal_F_trans5000,Model Based,42,37,0.0063331731544348235,,,,,
cal_F_trans5000,Model Based,42,38,0.005066382003421022,,,,,
cal_F_trans5000,Model Based,42,39,0.010420814202372619,,,,,
cal_F_trans5000,Model Based,42,40,0.01993012061696353,,,,,
cal_F_trans5000,Model Based,123,1,0.0,,,,,
cal_F_trans5000,Model Based,7,1,0.3333333333333333,,,,,
cal_F_trans5000,Model Based,7,2,0.10999999999999999,,,,,
cal_F_trans5000,Model Based,7,3,0.13481984999999996,,,,,
cal_F_trans5000,Model Based,7,4,0.11870765775,,,,,
cal_F_trans5000,Model Based,7,5,0.18665467511272943,,,,,
cal_F_trans5000,Model Based,7,6,0.08683019191208291,,,,,
cal_F_trans5000,Model Based,7,7,0.0578480110694265,,,,,
cal_F_trans5000,Model Based,7,8,0.030970630847505565,,,,,
cal_F_trans5000,Model Based,7,9,0.02459874750029009,,,,,
cal_F_trans5000,Model Based,7,10,0.02338932096579502,,,,,
cal_F_trans5000,Model Based,7,11,0.023710198773864155,,,,,
cal_F_trans5000,Model Based,7,12,0.019468209984540255,,,,,
cal_F_trans5000,Model Based,7,13,0.058967553925342475,,,,,
cal_F_trans5000,Model Based,7,14,0.03179894000340644,,,,,
cal_F_trans5000,Model Based,7,15,0.059171802664984674,,,,,
cal_F_trans5000,Model Based,7,16,0.03470484621313388,,,,,
cal_F_trans5000,Model Based,7,17,0.018413814611025314,,,,,
cal_F_trans5000,Model Based,7,18,0.013817755755324512,,,,,
cal_F_trans5000,Model Based,7,19,0.011117432384919274,,,,,
cal_F_trans5000,Model Based,7,20,0.016310501785815112,,,,,
cal_F_trans5000,Model Based,7,21,0.011553666149405672,,,,,
cal_F_trans5000,Model Based,7,22,0.02974315788578505,,,,,
cal_F_trans5000,Model Based,7,23,0.01728302521420183,,,,,
cal_F_trans5000,Model Based,7,24,0.012229202930150784,,,,,
cal_F_trans5000,Model Based,7,25,0.01483632631117332,,,,,
cal_F_trans5000,Model Based,7,26,0.029791052627478665,,,,,
cal_F_trans5000,Model Based,7,27,0.026761653656664608,,,,,
cal_F_trans5000,Model Based,7,28,0.01020997160232262,,,,,
cal_F_trans5000,Model Based,7,29,0.007368364765950264,,,,,
cal_F_trans5000,Model Based,7,30,0.006590860185392677,,,,,
cal_F_trans5000,Model Based,7,31,0.006526878125964808,,,,,
cal_F_trans5000,Model Based,7,32,0.0055158019636897815,,,,,
cal_F_trans5000,Model Based,7,33,0.004454577383447622,,,,,
cal_F_trans5000,Model Based,7,34,0.0038696562157968795,,,,,
cal_F_trans5000,Model Based,7,35,0.004096646403964566,,,,,
cal_F_trans5000,Model Based,7,36,0.008278387930468256,,,,,
cal_F_trans5000,Model Based,7,37,0.03641798336592994,,,,,
cal_F_trans5000,Model Based,7,38,0.015073765963345531,,,,,
cal_F_trans5000,Model Based,7,39,0.009615035145491002,,,,,
cal_F_trans5000,Model Based,7,40,0.010970668615642776,,,,,
cal_F_trans5000,Model Based,256,1,1.0,,,,,
cal_F_trans5000,Model Based,256,2,0.99,,,,,
cal_F_trans5000,Model Based,256,3,0.5308875,,,,,
cal_F_trans5000,Model Based,256,4,0.22571194222500002,,,,,
cal_F_trans5000,Model Based,256,5,0.081191925045,,,,,
cal_F_trans5000,Model Based,256,6,0.0465420397896783,,,,,
cal_F_trans5000,Model Based,256,7,0.04460177468370585,,,,,
cal_F_trans5000,Model Based,256,8,0.041079529141812954,,,,,
cal_F_trans5000,Model Based,256,9,0.14776591063359523,,,,,
cal_F_trans5000,Model Based,256,10,0.08746373715783451,,,,,
cal_F_trans5000,Model Based,256,11,0.109166592647019,,,,,
cal_F_trans5000,Model Based,256,12,0.0527591414062476,,,,,
cal_F_trans5000,Model Based,256,13,0.05185275156411029,,,,,
cal_F_trans5000,Model Based,256,14,0.07170430001226646,,,,,
cal_F_trans5000,Model Based,256,15,0.09659304935097746,,,,,
cal_F_trans5000,Model Based,256,16,0.07740772645616495,,,,,
cal_F_trans5000,Model Based,256,17,0.04847293182255008,,,,,
cal_F_trans5000,Model Based,256,18,0.023568017487283988,,,,,
cal_F_trans5000,Model Based,256,19,0.010718294643333182,,,,,
cal_F_trans5000,Model Based,256,20,0.011514360016775249,,,,,
cal_F_trans5000,Model Based,256,21,0.004834591381981168,,,,,
cal_F_trans5000,Model Based,256,22,0.0036826357282416233,,,,,
cal_F_trans5000,Model Based,256,23,0.002746780004566629,,,,,
cal_F_trans5000,Model Based,256,24,0.02431168321679067,,,,,
cal_F_trans5000,Model Based,256,25,0.010974775516789936,,,,,
cal_F_trans5000,Model Based,256,26,0.003442272425524251,,,,,
cal_F_trans5000,Model Based,256,27,0.002333781103955379,,,,,
cal_F_trans5000,Model Based,256,28,0.02150502102524532,,,,,
cal_F_trans5000,Model Based,256,29,0.012742827593603956,,,,,
cal_F_trans5000,Model Based,256,30,0.007398138905655882,,,,,
cal_F_trans5000,Model Based,256,31,0.015261599773616852,,,,,
cal_F_trans5000,Model Based,256,32,0.004529373014027338,,,,,
cal_F_trans5000,Model Based,256,33,0.0019900368313405803,,,,,
cal_F_trans5000,Model Based,256,34,0.007793568860971545,,,,,
cal_F_trans5000,Model Based,256,35,0.002241854850251135,,,,,
cal_F_trans5000,Model Based,256,36,0.06262069588927233,,,,,
cal_F_trans5000,Model Based,256,37,0.01879448817072299,,,,,
cal_F_trans5000,Model Based,256,38,0.013962229087349176,,,,,
cal_F_trans5000,Model Based,256,39,0.009503325916164762,,,,,
cal_F_trans5000,Model Based,256,40,0.004063831800467321,,,,,
cal_F_trans5000,Model Based,999,1,0.6666666666666666,,,,,
cal_F_trans5000,Model Based,999,2,0.32999999999999996,,,,,
cal_F_trans5000,Model Based,999,3,0.20418749999999997,,,,,
cal_F_trans5000,Model Based,999,4,0.1092683826717033,,,,,
cal_F_trans5000,Model Based,999,5,0.08527904591580276,,,,,
cal_F_trans5000,Model Based,999,6,0.06167886552589036,,,,,
cal_F_trans5000,Model Based,999,7,0.0652312702273703,,,,,
cal_F_trans5000,Model Based,999,8,0.07668713393202653,,,,,
cal_F_trans5000,Model Based,999,9,0.0412221025103197,,,,,
cal_F_trans5000,Model Based,999,10,0.038410761572638896,,,,,
cal_F_trans5000,Model Based,999,11,0.03979493137403167,,,,,
cal_F_trans5000,Model Based,999,12,0.034489970811083265,,,,,
cal_F_trans5000,Model Based,999,13,0.04916989719386111,,,,,
cal_F_trans5000,Model Based,999,14,0.021887415070139193,,,,,
cal_F_trans5000,Model Based,999,15,0.018102476094986886,,,,,
cal_F_trans5000,Model Based,999,16,0.023990328679373618,,,,,
cal_F_trans5000,Model Based,999,17,0.014246471261918359,,,,,
cal_F_trans5000,Model Based,999,18,0.03953191338311801,,,,,
cal_F_trans5000,Model Based,999,19,0.01813086363683747,,,,,
cal_F_trans5000,Model Based,999,20,0.015063872741520323,,,,,
cal_F_trans5000,Model Based,999,21,0.017709307198590762,,,,,
cal_F_trans5000,Model Based,999,22,0.010829282382545935,,,,,
cal_F_trans5000,Model Based,999,23,0.00978738089635195,,,,,
cal_F_trans5000,Model Based,999,24,0.011396250623794235,,,,,
cal_F_trans5000,Model Based,999,25,0.015113202948098536,,,,,
cal_F_trans5000,Model Based,999,26,0.037158078784948145,,,,,
cal_F_trans5000,Model Based,999,27,0.015065417216304833,,,,,
cal_F_trans5000,Model Based,999,28,0.017996166280090486,,,,,
cal_F_trans5000,Model Based,999,29,0.010344709659738771,,,,,
cal_F_trans5000,Model Based,999,30,0.023225550390518657,,,,,
cal_F_trans5000,Model Based,999,31,0.008359641795196104,,,,,
cal_F_trans5000,Model Based,999,32,0.00837222472466248,,,,,
cal_F_trans5000,Model Based,999,33,0.007990804250482153,,,,,
cal_F_trans5000,Model Based,999,34,0.00739853260455714,,,,,
cal_F_trans5000,Model Based,999,35,0.009809452715907385,,,,,
cal_F_trans5000,Model Based,999,36,0.005881483057748604,,,,,
cal_F_trans5000,Model Based,999,37,0.010437762246005677,,,,,
cal_F_trans5000,Model Based,999,38,0.006517190498302128,,,,,
cal_F_trans5000,Model Based,999,39,0.010626169045433953,,,,,
cal_F_trans5000,Model Based,999,40,0.011069939391655292,,,,,
