exp,map_name,success_rate,gamma,num_episodes,agent,pct_success,avg_reward,train_time_s
calA_g0.9,4x4,0.3333333333333333,0.9,2000,Value Iteration,70.00,0.5900,0.01
calA_g0.9,4x4,0.3333333333333333,0.9,2000,REINFORCE,0.00,0.0000,7.02
calA_g0.9,4x4,0.3333333333333333,0.9,2000,Q-Learning,79.00,0.7150,0.87
calA_g0.9,4x4,0.3333333333333333,0.9,2000,Model Based,74.00,0.6750,17.13
calA_g0.95,4x4,0.3333333333333333,0.95,2000,Value Iteration,88.00,0.8350,0.01
calA_g0.95,4x4,0.3333333333333333,0.95,2000,REINFORCE,0.00,0.0000,6.81
calA_g0.95,4x4,0.3333333333333333,0.95,2000,Q-Learning,78.00,0.7100,0.92
calA_g0.95,4x4,0.3333333333333333,0.95,2000,Model Based,66.00,0.5550,24.64
calA_g0.99,4x4,0.3333333333333333,0.99,2000,Value Iteration,73.00,0.6250,0.03
calA_g0.99,4x4,0.3333333333333333,0.99,2000,REINFORCE,0.00,0.0000,6.19
calA_g0.99,4x4,0.3333333333333333,0.99,2000,Q-Learning,79.00,0.7200,0.86
calA_g0.99,4x4,0.3333333333333333,0.99,2000,Model Based,71.00,0.6250,26.53
calB_ep500,4x4,0.8,0.99,500,REINFORCE,37.00,0.3700,1.03
calB_ep500,4x4,0.8,0.99,500,Q-Learning,73.00,0.5950,0.16
calB_ep1000,4x4,0.8,0.99,1000,REINFORCE,0.00,-0.3250,2.31
calB_ep1000,4x4,0.8,0.99,1000,Q-Learning,85.00,0.7750,0.27
calB_ep2000,4x4,0.8,0.99,2000,REINFORCE,30.00,0.2250,5.18
calB_ep2000,4x4,0.8,0.99,2000,Q-Learning,90.00,0.8600,0.85
calB_ep5000,4x4,0.8,0.99,5000,REINFORCE,0.00,-0.3050,12.05
calB_ep5000,4x4,0.8,0.99,5000,Q-Learning,81.00,0.7250,1.43
calC_default,4x4,0.8,0.99,5000,REINFORCE,3.00,0.0300,1.62
calC_default,4x4,0.8,0.99,5000,Q-Learning,0.00,0.0000,2.85
calC_hole_penalty,4x4,0.8,0.99,5000,REINFORCE,0.00,-0.6400,12.56
calC_hole_penalty,4x4,0.8,0.99,5000,Q-Learning,16.00,0.1400,4.43
calC_step_penalty,4x4,0.8,0.99,5000,REINFORCE,0.00,-0.0146,0.80
