exp_id,algorithm,map_name,success_rate,reward_schedule,agent_seed,env_seed,map_seed,hyperparams_json,total_train_time_s,n_train_episodes,n_train_iterations,eval_success_rate,eval_mean_reward,eval_mean_steps,eval_termination_goal_pct,eval_termination_hole_pct,eval_truncation_pct,eval_policy_agreement_vi,n_state_action_visited_pct,final_q_diff_l_inf
exp_scaling_fixed_10x10,Value Iteration,10x10,0.3333333333333333,"(1, 0, 0)",42,42,99,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 400, ""theta_convergence"": 1e-06}",0.259260892868042,2000,331,16.1,0.164,92.953,16.1,8.4,75.5,100.0,,
exp_scaling_fixed_10x10,Value Iteration,10x10,0.3333333333333333,"(1, 0, 0)",123,123,99,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 400, ""theta_convergence"": 1e-06}",0.22965693473815918,2000,331,14.399999999999999,0.148,93.243,14.399999999999999,7.3999999999999995,78.2,100.0,,
exp_scaling_fixed_10x10,Value Iteration,10x10,0.3333333333333333,"(1, 0, 0)",7,7,99,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 400, ""theta_convergence"": 1e-06}",0.22827553749084473,2000,331,14.099999999999998,0.146,93.566,14.099999999999998,7.199999999999999,78.7,100.0,,
exp_scaling_fixed_10x10,REINFORCE,10x10,0.3333333333333333,"(1, 0, 0)",42,42,99,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 400, ""theta_convergence"": 1e-06}",0.572930097579956,2000,,0.0,0.0,2.926,0.0,100.0,0.0,,,
exp_scaling_fixed_10x10,REINFORCE,10x10,0.3333333333333333,"(1, 0, 0)",123,123,99,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 400, ""theta_convergence"": 1e-06}",0.49910521507263184,2000,,0.0,0.0,3.116,0.0,100.0,0.0,,,
exp_scaling_fixed_10x10,REINFORCE,10x10,0.3333333333333333,"(1, 0, 0)",7,7,99,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 400, ""theta_convergence"": 1e-06}",0.5701768398284912,2000,,0.0,0.0,2.904,0.0,100.0,0.0,,,
exp_scaling_fixed_10x10,Q-Learning,10x10,0.3333333333333333,"(1, 0, 0)",42,42,99,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 400, ""theta_convergence"": 1e-06}",0.1581556797027588,2000,,0.0,0.0,2.92,0.0,100.0,0.0,,0.0,
exp_scaling_fixed_10x10,Q-Learning,10x10,0.3333333333333333,"(1, 0, 0)",123,123,99,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 400, ""theta_convergence"": 1e-06}",0.19910907745361328,2000,,0.0,0.0,2.972,0.0,100.0,0.0,,0.0,
exp_scaling_fixed_10x10,Q-Learning,10x10,0.3333333333333333,"(1, 0, 0)",7,7,99,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 400, ""theta_convergence"": 1e-06}",0.17416834831237793,2000,,0.0,0.0,2.86,0.0,100.0,0.0,,0.0,
exp_scaling_fixed_10x10,Model Based,10x10,0.3333333333333333,"(1, 0, 0)",42,42,99,"{""epsilon"": 1.0, ""epsilon_decay"": 0.999, ""epsilon_min"": 0.01, ""gamma"": 0.99, ""learning_rate"": 0.1, ""lr_decay"": 1.0, ""num_transitions_mb"": 5000, ""planning_steps_per_iter"": 100, ""reinforce_lr"": 0.01, ""t_max"": 400, ""theta_convergence"": 1e-06}",0.01184391975402832,2000,1,0.0,0.0,3.133,0.0,100.0,0.0,,100.0,
